player_id,draft_year,horizon_years,outcome_through,nhl_games,nhl_points,nhl_toi_minutes,goalie_starts,value_proxy,source,source_id,source_url
2017-149-jarret-tyszka,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479995,https://api-web.nhle.com/v1/player/8479995/landing
2017-150-jakub-galvas,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480231,https://api-web.nhle.com/v1/player/8480231/landing
2017-151-sebastian-walfridsson,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480232,https://api-web.nhle.com/v1/player/8480232/landing
2017-152-jan-drozg,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480285,https://api-web.nhle.com/v1/player/8480285/landing
2017-153-olle-eriksson-ek,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480042,https://api-web.nhle.com/v1/player/8480042/landing
2017-154-tomas-vomacka,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480233,https://api-web.nhle.com/v1/player/8480233/landing
2017-155-linus-olund,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480234,https://api-web.nhle.com/v1/player/8480234/landing
2017-156-denis-smirnov,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480287,https://api-web.nhle.com/v1/player/8480287/landing
2017-157-dominik-lakatos,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480235,https://api-web.nhle.com/v1/player/8480235/landing
2017-158-nick-campoli,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480288,https://api-web.nhle.com/v1/player/8480288/landing
2017-159-jacob-mcgrew,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480236,https://api-web.nhle.com/v1/player/8480236/landing
2017-160-aarne-talvitie,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480237,https://api-web.nhle.com/v1/player/8480237/landing
2017-161-jiri-patera,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480238,https://api-web.nhle.com/v1/player/8480238/landing
2017-162-john-adams,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480239,https://api-web.nhle.com/v1/player/8480239/landing
2017-163-brett-davis,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480240,https://api-web.nhle.com/v1/player/8480240/landing
2017-164-reilly-webb,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480241,https://api-web.nhle.com/v1/player/8480241/landing
2017-165-arnaud-durandeau,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480242,https://api-web.nhle.com/v1/player/8480242/landing
2017-166-brendan-de-jong,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480243,https://api-web.nhle.com/v1/player/8480243/landing
2017-167-arvid-holm,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480244,https://api-web.nhle.com/v1/player/8480244/landing
2017-168-olle-lycksell,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480245,https://api-web.nhle.com/v1/player/8480245/landing
2017-169-nick-perbix,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480246,https://api-web.nhle.com/v1/player/8480246/landing
2017-170-jonathan-davidsson,2017,3,2020-06-30,6,1,33.1,0,,nhl_public_api,8480247,https://api-web.nhle.com/v1/player/8480247/landing
