player_id,name,matched,source_name,source_id,source_url,team,games,goals,assists,points,regular_season
2024-208-fisher-scott,Fisher Scott,true,Fisher Scott,9520,https://ushl.com/ht/#/player/9520/84/Fisher%20Scott,DBQ,11,1,0,1,false
2024-208-fisher-scott,Fisher Scott,true,Fisher Scott,9520,https://ushl.com/ht/#/player/9520/82/Fisher%20Scott,DBQ,61,8,25,33,true
2024-209-antoine-dorion,Antoine Dorion,false,,,,,,,,,
2024-210-makar-khanin,Makar Khanin,false,,,,,,,,,
2024-211-matvei-korotky,Matvei Korotky,false,,,,,,,,,
2024-212-miroslav-satan,Miroslav Satan,false,,,,,,,,,
2024-213-erik-p-hlsson,Erik Påhlsson,true,Erik Pahlsson,10175,https://ushl.com/ht/#/player/10175/84/Erik%20Pahlsson,DBQ,11,1,4,5,false
2024-213-erik-p-hlsson,Erik Påhlsson,true,Erik Pahlsson,10175,https://ushl.com/ht/#/player/10175/82/Erik%20Pahlsson,DBQ,57,28,44,72,true
2024-214-darels-uljanskis,Darels Uljanskis,false,,,,,,,,,
2024-215-christian-humphreys,Christian Humphreys,true,Christian Humphreys,9885,https://ushl.com/ht/#/player/9885/82/Christian%20Humphreys,NTDP,23,7,17,24,true
2024-216-sam-mccue,Sam McCue,false,,,,,,,,,
2024-217-nikita-prishchepov,Nikita Prishchepov,false,,,,,,,,,
2024-218-bauer-berry,Bauer Berry,true,Bauer Berry,9964,https://ushl.com/ht/#/player/9964/84/Bauer%20Berry,MUS,8,1,1,2,false
2024-218-bauer-berry,Bauer Berry,true,Bauer Berry,9964,https://ushl.com/ht/#/player/9964/82/Bauer%20Berry,MUS,59,1,13,14,true
2024-219-ryerson-leenders,Ryerson Leenders,false,,,,,,,,,
2024-220-andrey-krutov,Andrey Krutov,false,,,,,,,,,
2024-221-basile-sansonnens,Basile Sansonnens,false,,,,,,,,,
2024-222-william-samuelsson,William Samuelsson,false,,,,,,,,,
2024-223-finn-harding,Finn Harding,false,,,,,,,,,
2024-224-rasmus-bergqvist,Rasmus Bergqvist,false,,,,,,,,,
2024-225-nathan-mayes,Nathan Mayes,false,,,,,,,,,
