source_id,enabled,draft_year,adapter,league,season,stage,source_url,cache_path,source_label
2016-qmjhl-regular,false,2016,chl,QMJHL,2015-16,regular,https://chl.ca/lhjmq/en/stats/players/181/all/points,data/raw/cache/chl_stats/qmjhl_2015_16_s181_regular_players.html,chl
2016-whl-playoffs,false,2016,chl,WHL,2015-16,playoffs,https://chl.ca/whl/stats/players/254/all/points,data/raw/cache/chl_stats/whl_2015_16_s254_playoffs_players.html,chl
2016-whl-regular,false,2016,chl,WHL,2015-16,regular,https://chl.ca/whl/stats/players/251/all/points,data/raw/cache/chl_stats/whl_2015_16_s251_regular_players.html,chl
2016-ncaa-uscho-combined,true,2016,ncaa,NCAA,2015-16,regular,https://www.uscho.com/stats/overall/division-i-men/2015-2016,data/raw/cache/ncaa_stats/ncaa_2015_16_uscho.html,uscho:combined
2016-russia-reviewed-open-stats,true,2016,open_csv,,2015-16,regular,,data/reference/russian_open_stats_2016.csv,reviewed-russian-open-stats
2016-ushl-playoffs-goalies,true,2016,ushl,USHL,2015-16,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=51&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2015_16_s51_playoffs_goalies.json,51:goalies
2016-ushl-playoffs-skaters,true,2016,ushl,USHL,2015-16,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=51&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2015_16_s51_playoffs_skaters.json,51:skaters
2016-ushl-regular-goalies,true,2016,ushl,USHL,2015-16,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=48&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2015_16_s48_regular_goalies.json,48:goalies
2016-ushl-regular-skaters,true,2016,ushl,USHL,2015-16,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=48&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2015_16_s48_regular_skaters.json,48:skaters
2017-ohl-playoffs,false,2017,chl,OHL,2016-17,playoffs,https://chl.ca/ohl/stats/players/58/all/points,data/raw/cache/chl_stats/ohl_2016_17_s58_playoffs_players.html,chl
2017-ohl-regular,false,2017,chl,OHL,2016-17,regular,https://chl.ca/ohl/stats/players/56/all/points,data/raw/cache/chl_stats/ohl_2016_17_s56_regular_players.html,chl
2017-qmjhl-playoffs,false,2017,chl,QMJHL,2016-17,playoffs,https://chl.ca/lhjmq/en/stats/players/185/all/points,data/raw/cache/chl_stats/qmjhl_2016_17_s185_playoffs_players.html,chl
2017-qmjhl-regular,false,2017,chl,QMJHL,2016-17,regular,https://chl.ca/lhjmq/en/stats/players/184/all/points,data/raw/cache/chl_stats/qmjhl_2016_17_s184_regular_players.html,chl
2017-whl-playoffs,false,2017,chl,WHL,2016-17,playoffs,https://chl.ca/whl/stats/players/260/all/points,data/raw/cache/chl_stats/whl_2016_17_s260_playoffs_players.html,chl
2017-whl-regular,false,2017,chl,WHL,2016-17,regular,https://chl.ca/whl/stats/players/257/all/points,data/raw/cache/chl_stats/whl_2016_17_s257_regular_players.html,chl
2017-ncaa-uscho-combined,true,2017,ncaa,NCAA,2016-17,regular,https://www.uscho.com/stats/overall/division-i-men/2016-2017,data/raw/cache/ncaa_stats/ncaa_2016_17_uscho.html,uscho:combined
2017-russia-reviewed-open-stats,true,2017,open_csv,,2016-17,regular,,data/reference/russian_open_stats_2017.csv,reviewed-russian-open-stats
2017-ushl-playoffs-goalies,true,2017,ushl,USHL,2016-17,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=61&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2016_17_s61_playoffs_goalies.json,61:goalies
2017-ushl-playoffs-skaters,true,2017,ushl,USHL,2016-17,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=61&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2016_17_s61_playoffs_skaters.json,61:skaters
2017-ushl-regular-goalies,true,2017,ushl,USHL,2016-17,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=58&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2016_17_s58_regular_goalies.json,58:goalies
2017-ushl-regular-skaters,true,2017,ushl,USHL,2016-17,regular,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=58&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2016_17_s58_regular_skaters.json,58:skaters
2018-ohl-playoffs,false,2018,chl,OHL,2017-18,playoffs,https://chl.ca/ohl/stats/players/61/all/points,data/raw/cache/chl_stats/ohl_2017_18_s61_playoffs_players.html,chl
2018-ohl-regular,false,2018,chl,OHL,2017-18,regular,https://chl.ca/ohl/stats/players/60/all/points,data/raw/cache/chl_stats/ohl_2017_18_s60_regular_players.html,chl
2018-qmjhl-playoffs,false,2018,chl,QMJHL,2017-18,playoffs,https://chl.ca/lhjmq/en/stats/players/188/all/points,data/raw/cache/chl_stats/qmjhl_2017_18_s188_playoffs_players.html,chl
2018-qmjhl-regular,false,2018,chl,QMJHL,2017-18,regular,https://chl.ca/lhjmq/en/stats/players/187/all/points,data/raw/cache/chl_stats/qmjhl_2017_18_s187_regular_players.html,chl
2018-whl-playoffs,false,2018,chl,WHL,2017-18,playoffs,https://chl.ca/whl/stats/players/264/all/points,data/raw/cache/chl_stats/whl_2017_18_s264_playoffs_players.html,chl
2018-whl-regular,false,2018,chl,WHL,2017-18,regular,https://chl.ca/whl/stats/players/262/all/points,data/raw/cache/chl_stats/whl_2017_18_s262_regular_players.html,chl
2018-ncaa-uscho-combined,true,2018,ncaa,NCAA,2017-18,regular,https://www.uscho.com/stats/overall/division-i-men/2017-2018,data/raw/cache/ncaa_stats/ncaa_2017_18_uscho.html,uscho:combined
2018-russia-reviewed-open-stats,true,2018,open_csv,,2017-18,regular,,data/reference/russian_open_stats_2018.csv,reviewed-russian-open-stats
2018-ushl-playoffs-goalies,true,2018,ushl,USHL,2017-18,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=66&team=all&position=goalies&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=save_percentage&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2017_18_s66_playoffs_goalies.json,66:goalies
2018-ushl-playoffs-skaters,true,2018,ushl,USHL,2017-18,playoffs,https://lscluster.hockeytech.com/feed/index.php?feed=statviewfeed&view=players&season=66&team=all&position=skaters&rookies=0&statsType=standard&rosterstatus=&site_id=&first=0&limit=1000&sort=points&league_id=1&lang=en&division=-1&key=e828f89b243dc43f&client_code=ushl,data/raw/cache/ushl_stats/ushl_2017_18_s66_playoffs_skaters.json,66:skaters
